"id","report_key","name","file_pattern","city","active","slug","created_at","updated_at"
1,"MXP","Milan Airport","(?!)","Milan, IT",TRUE,"mxp","2014-08-21 04:18:04","2014-09-07 00:11:33"
2,"SIN","Changi Airport","(?!)","Sinagpore, SG",TRUE,"sin","2014-08-21 04:18:19","2014-09-07 00:10:28"
4,"MAN","Manchester Airport","(?!)","Manchester, UK",TRUE,"man","2014-08-21 04:19:04","2014-09-07 00:11:18"
6,"FR","Ryan Air","(?!)","All Cities",TRUE,"fr","2014-08-21 04:29:52","2014-09-07 00:10:44"
8,"BCN","Barcelona Airport","(?!)","Barcelona, Spain",TRUE,"bcn","2014-08-21 04:34:18","2014-09-01 17:29:23"
9,"SNN","Shannon Airport","(?!)","Shannon, Ireland",TRUE,"snn","2014-08-21 20:56:20","2014-08-24 06:41:38"
26,"LGWU2EK","Gatwick Easy Jet - Emirates Connections","(?!)","London, UK",TRUE,"lgwu2ek","2014-10-27 04:38:14.700334","2014-10-27 04:42:02.806931"
7,"ATHMKTS","Athens Airport","(?!)","Athens, GR",TRUE,"ath","2014-08-21 04:30:10","2014-09-07 00:10:07"
27,"BLR","Bengalaru","(?!)","Bengalaru, India",FALSE,"blr","2014-10-27 04:38:14.700334","2014-10-27 04:42:02.806931"
28,"ATH1STOP","Athens Airport (limited carriers)","(?!)","Athens, GR",,"ath1stop","2014-08-21 04:30:10","2014-09-07 00:10:07"
29,"DY","Norwegian Air","(?!)","All Cities",,"dy","2014-08-21 04:29:52","2014-09-07 00:10:44"
3,"LGWDYVS","London Gatwick Airport (Norwegian and Virgin)","(?!)","London, UK",TRUE,"lgwdyvs","2014-08-21 04:18:49","2014-09-07 00:11:56"
